Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
138,Exit Long,Exit,2022-08-03 20:00,23133.3,0.258825,-130.65,-2.14,5187.49,-2.14,143.44,2.34,254.66,4.16
138,Entry Long,Long,2022-07-30 17:00,23638.1,0.258825,-130.65,-2.14,5187.49,-2.14,143.44,2.34,254.66,4.16
137,Exit Long,Exit,2022-07-29 05:00,23716.1,0.257969,454.23,8.02,5318.14,8.02,639.69,11.29,319.73,5.65
137,Entry Long,Long,2022-07-24 20:00,21955.3,0.257969,454.23,8.02,5318.14,8.02,639.69,11.29,319.73,5.65
136,Exit Long,Exit,2022-07-24 17:00,22578.0,0.250859,-28.92,-0.51,4863.91,-0.51,266.09,4.67,187.79,3.3
136,Entry Long,Long,2022-07-20 20:00,22693.3,0.250859,-28.92,-0.51,4863.91,-0.51,266.09,4.67,187.79,3.3
135,Exit Long,Exit,2022-07-19 02:00,21925.3,0.259647,112.25,2.01,4892.83,2.01,379.32,6.8,10.96,0.2
135,Entry Long,Long,2022-07-18 14:00,21493.0,0.259647,112.25,2.01,4892.83,2.01,379.32,6.8,10.96,0.2
134,Exit Long,Exit,2022-07-18 11:00,21877.7,0.2551,245.00,4.59,4780.59,4.59,473.72,8.88,42.53,0.8
134,Entry Long,Long,2022-07-17 11:00,20917.3,0.2551,245.00,4.59,4780.59,4.59,473.72,8.88,42.53,0.8
133,Exit Long,ExitSL=true,2022-04-11 14:00,39835.8,0.133939,-390.79,-6.82,4535.59,-6.82,88.68,1.55,436.11,7.62
133,Entry Long,Long,2022-04-09 17:00,42753.5,0.133939,-390.79,-6.82,4535.59,-6.82,88.68,1.55,436.11,7.62
132,Exit Long,ExitSL=true,2022-04-08 14:00,42812.1,0.133756,-400.53,-6.54,4926.38,-6.54,223.29,3.64,462.70,7.55
132,Entry Long,Long,2022-04-02 17:00,45806.6,0.133756,-400.53,-6.54,4926.38,-6.54,223.29,3.64,462.70,7.55
131,Exit Long,Exit,2022-04-02 11:00,46352.9,0.132179,223.77,3.79,5326.91,3.79,335.47,5.68,10.89,0.18
